"pair","id","date_time","longitude","latitude"
1,"A","2009-01-01 12:00:01.680",-2.66296857,51.40691439
1,"A","2009-01-01 12:00:01.700",-2.66296887,51.40691473
1,"A","2009-01-01 12:00:01.720",-2.66296917,51.40691506
1,"A","2009-01-01 12:00:01.740",-2.66296938,51.40691533
1,"A","2009-01-01 12:00:01.760",-2.66296941,51.40691561
1,"A","2009-01-01 12:00:01.780",-2.66296893,51.40691583
1,"A","2009-01-01 12:00:01.800",-2.662968,51.40691593
1,"A","2009-01-01 12:00:01.820",-2.66296745,51.40691607
1,"A","2009-01-01 12:00:01.840",-2.6629675,51.40691638
1,"A","2009-01-01 12:00:01.860",-2.66296783,51.40691685
1,"A","2009-01-01 12:00:01.880",-2.66296809,51.40691727
1,"A","2009-01-01 12:00:01.900",-2.66296824,51.40691757
1,"A","2009-01-01 12:00:01.920",-2.66296857,51.40691785
1,"A","2009-01-01 12:00:01.940",-2.66296867,51.40691812
1,"A","2009-01-01 12:00:01.960",-2.66296786,51.40691837
1,"A","2009-01-01 12:00:01.980",-2.66296724,51.40691867
1,"A","2009-01-01 12:00:02.000",-2.66296703,51.40691901
1,"A","2009-01-01 12:00:02.020",-2.66296678,51.4069193
1,"A","2009-01-01 12:00:02.040",-2.66296644,51.40691958
1,"A","2009-01-01 12:00:02.060",-2.66296653,51.40691994
1,"A","2009-01-01 12:00:02.080",-2.66296709,51.40692038
1,"A","2009-01-01 12:00:02.100",-2.6629675,51.40692078
1,"A","2009-01-01 12:00:02.120",-2.66296696,51.40692111
1,"A","2009-01-01 12:00:02.140",-2.66296594,51.40692143
1,"A","2009-01-01 12:00:02.160",-2.66296514,51.40692171
1,"A","2009-01-01 12:00:02.180",-2.66296428,51.40692191
1,"A","2009-01-01 12:00:02.200",-2.66296311,51.40692208
1,"A","2009-01-01 12:00:02.220",-2.66296235,51.40692234
1,"A","2009-01-01 12:00:02.240",-2.66296232,51.40692271
1,"A","2009-01-01 12:00:02.260",-2.66296218,51.40692313
1,"A","2009-01-01 12:00:02.280",-2.66296182,51.40692353
1,"A","2009-01-01 12:00:02.300",-2.66296119,51.40692387
1,"A","2009-01-01 12:00:02.320",-2.66296057,51.40692414
1,"A","2009-01-01 12:00:02.340",-2.66296004,51.40692436
1,"A","2009-01-01 12:00:02.360",-2.6629597,51.40692457
1,"A","2009-01-01 12:00:02.380",-2.6629585,51.40692477
1,"A","2009-01-01 12:00:02.400",-2.66295693,51.40692504
1,"A","2009-01-01 12:00:02.420",-2.66295607,51.40692544
1,"A","2009-01-01 12:00:02.440",-2.66295609,51.4069259
1,"A","2009-01-01 12:00:02.460",-2.66295591,51.40692628
1,"A","2009-01-01 12:00:02.480",-2.66295527,51.40692656
1,"A","2009-01-01 12:00:02.500",-2.66295414,51.40692678
1,"A","2009-01-01 12:00:02.520",-2.66295312,51.40692704
1,"A","2009-01-01 12:00:02.540",-2.6629526,51.40692739
1,"A","2009-01-01 12:00:02.560",-2.66295171,51.4069277
1,"A","2009-01-01 12:00:02.580",-2.66295049,51.40692795
1,"A","2009-01-01 12:00:02.600",-2.66294929,51.40692826
1,"A","2009-01-01 12:00:02.620",-2.66294919,51.40692871
1,"A","2009-01-01 12:00:02.640",-2.66294977,51.40692916
1,"A","2009-01-01 12:00:02.660",-2.66294991,51.40692947
1,"A","2009-01-01 12:00:02.680",-2.66294942,51.40692972
1,"A","2009-01-01 12:00:02.700",-2.66294822,51.40693
1,"A","2009-01-01 12:00:02.720",-2.66294757,51.40693031
1,"A","2009-01-01 12:00:02.740",-2.66294758,51.40693066
1,"A","2009-01-01 12:00:02.760",-2.66294695,51.40693103
1,"A","2009-01-01 12:00:02.780",-2.66294595,51.40693136
