"id","time","latitude","longitude"
"1","12:00:02.319",51.40695632,-2.66308949
"1","12:00:02.339",51.40695633,-2.66308889
"1","12:00:02.360",51.40695635,-2.66308854
"1","12:00:02.380",51.40695639,-2.66308826
"1","12:00:02.400",51.40695642,-2.663088
"1","12:00:02.420",51.40695641,-2.66308813
"1","12:00:02.440",51.40695641,-2.66308888
"1","12:00:02.460",51.40695645,-2.66309008
"1","12:00:02.480",51.40695647,-2.66309133
"1","12:00:02.500",51.40695646,-2.66309261
"1","12:00:02.519",51.40695643,-2.66309392
"1","12:00:02.539",51.40695639,-2.66309525
"1","12:00:02.559",51.40695631,-2.66309661
"1","12:00:02.579",51.40695622,-2.66309821
"1","12:00:02.599",51.40695618,-2.66309999
"1","12:00:02.619",51.40695619,-2.66310166
"1","12:00:02.639",51.40695618,-2.66310326
"1","12:00:02.660",51.40695614,-2.66310498
"1","12:00:02.680",51.4069561,-2.66310666
"1","12:00:02.700",51.40695608,-2.66310826
"1","12:00:02.720",51.40695611,-2.66310973
"1","12:00:02.740",51.40695619,-2.66311126
"1","12:00:02.759",51.4069563,-2.66311284
"1","12:00:02.779",51.4069564,-2.6631144
"1","12:00:02.799",51.40695649,-2.66311602
"1","12:00:02.819",51.40695662,-2.6631177
"1","12:00:02.839",51.40695681,-2.66311922
"1","12:00:02.860",51.40695703,-2.66312047
"1","12:00:02.880",51.40695729,-2.66312181
"1","12:00:02.900",51.40695754,-2.66312316
"1","12:00:02.920",51.40695781,-2.66312459
"1","12:00:02.940",51.40695812,-2.66312597
"1","12:00:02.960",51.40695844,-2.66312715
"1","12:00:02.980",51.40695878,-2.66312831
"1","12:00:03.000",51.40695917,-2.66312964
"1","12:00:03.019",51.40695958,-2.66313087
"1","12:00:03.039",51.40696001,-2.66313184
"1","12:00:03.059",51.40696042,-2.66313288
"1","12:00:03.079",51.40696085,-2.66313392
"1","12:00:03.099",51.40696131,-2.66313484
"1","12:00:03.119",51.40696174,-2.6631358
"1","12:00:03.139",51.40696215,-2.66313661
"1","12:00:03.160",51.40696258,-2.66313706
"1","12:00:03.180",51.406963,-2.66313749
"1","12:00:03.200",51.40696343,-2.66313793
"1","12:00:03.220",51.40696386,-2.66313824
"1","12:00:03.240",51.40696426,-2.66313844
"1","12:00:03.259",51.40696463,-2.66313855
"1","12:00:03.279",51.40696499,-2.66313843
"1","12:00:03.299",51.40696534,-2.66313827
"1","12:00:03.319",51.40696568,-2.66313821
"1","12:00:03.339",51.40696602,-2.66313807
"1","12:00:03.360",51.40696636,-2.6631379
"1","12:00:03.380",51.40696668,-2.66313779
"1","12:00:03.400",51.40696698,-2.66313756
"1","12:00:03.420",51.4069673,-2.66313699
"1","12:00:03.440",51.40696761,-2.66313617
"1","12:00:03.460",51.40696791,-2.66313549
"1","12:00:03.480",51.40696821,-2.66313493
"1","12:00:03.500",51.40696853,-2.66313419
"1","12:00:03.519",51.40696885,-2.66313327
"1","12:00:03.539",51.40696919,-2.66313228
"1","12:00:03.559",51.40696957,-2.66313119
"1","12:00:03.579",51.40696994,-2.66312997
"1","12:00:03.599",51.40697028,-2.66312889
"1","12:00:03.619",51.40697064,-2.66312786
"1","12:00:03.639",51.40697105,-2.66312663
"1","12:00:03.660",51.40697146,-2.66312546
"1","12:00:03.680",51.40697185,-2.66312432
"1","12:00:03.700",51.40697223,-2.66312319
"1","12:00:03.720",51.40697265,-2.66312208
"1","12:00:03.740",51.40697312,-2.66312083
"1","12:00:03.759",51.40697362,-2.66311943
"1","12:00:03.779",51.40697409,-2.66311817
"1","12:00:03.799",51.40697456,-2.66311708
"1","12:00:03.819",51.40697509,-2.66311592
"1","12:00:03.839",51.40697568,-2.66311449
"1","12:00:03.860",51.40697625,-2.66311295
"1","12:00:03.880",51.40697678,-2.66311148
"1","12:00:03.900",51.40697732,-2.66311025
"1","12:00:03.920",51.40697791,-2.66310895
"1","12:00:03.940",51.40697849,-2.6631077
"1","12:00:03.960",51.40697906,-2.66310644
"1","12:00:03.980",51.40697962,-2.66310533
"1","12:00:04.000",51.40698021,-2.66310431
"1","12:00:04.019",51.40698091,-2.66310295
"1","12:00:04.039",51.40698166,-2.66310134
"1","12:00:04.059",51.40698235,-2.66309988
"1","12:00:04.079",51.40698302,-2.6630986
"1","12:00:04.099",51.40698366,-2.66309746
"1","12:00:04.119",51.40698432,-2.6630962
"1","12:00:04.139",51.40698508,-2.66309463
"1","12:00:04.160",51.4069859,-2.66309309
"1","12:00:04.180",51.40698666,-2.66309204
"1","12:00:04.200",51.40698735,-2.66309112
"1","12:00:04.220",51.40698805,-2.66308998
"1","12:00:04.240",51.40698878,-2.66308866
"1","12:00:04.259",51.40698944,-2.66308763
"1","12:00:04.279",51.40699001,-2.6630871
"1","12:00:04.299",51.40699065,-2.66308638
"1","12:00:04.319",51.40699144,-2.66308509
"1","12:00:04.339",51.40699225,-2.66308343
"1","12:00:04.360",51.40699299,-2.66308213
"1","12:00:04.380",51.40699372,-2.66308118
"1","12:00:04.400",51.40699453,-2.66308003
